アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,Training Stress Score®,ステップ,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度,メモ
ラン,2026-04-27 19:11:53,False,国分寺市 ラン,13.14,643,01:28:59,148,165,176,187,6:46,4:02,121,116,0.84,0.0,"15,698",いいえ,00:01:11.5,14,01:28:41,01:30:21,70,108,
ラン,2026-04-26 19:57:32,False,国分寺市 ラン,13.87,681,01:30:23,152,169,179,191,6:31,5:28,93,94,0.86,0.0,"16,100",いいえ,00:05:19.6,14,01:30:10,01:30:35,70,92,
ラン,2026-04-24 18:39:24,False,国分寺市 ラン,13.74,669,01:28:41,150,166,178,188,6:27,4:08,95,98,0.87,0.0,"15,788",いいえ,00:04:23.2,14,01:28:27,01:30:44,70,104,
ラン,2026-04-20 19:16:50,False,国分寺市 ラン,5.01,258,00:36:18,149,162,171,180,7:15,5:55,35,34,0.81,0.0,"6,218",いいえ,00:00:03.0,6,00:36:05,00:37:22,74,93,
ラン,2026-04-19 16:05:51,False,国分寺市 ラン,15.41,767,01:43:58,153,170,178,189,6:45,5:10,78,76,0.83,0.0,"18,478",いいえ,00:02:50.3,16,01:43:49,01:48:07,70,93,
ラン,2026-04-17 18:47:14,False,国分寺市 ラン,18.33,884,01:58:17,155,169,181,190,6:27,4:13,147,151,0.86,0.0,"21,340",いいえ,00:02:00.2,19,01:58:04,02:03:17,69,108,
ラン,2026-04-14 20:30:30,False,国分寺市 ラン,13.77,695,01:36:08,155,178,179,193,6:59,5:36,115,117,0.80,0.0,"17,128",いいえ,00:04:50.7,14,01:35:49,01:37:02,70,116,
ラン,2026-04-13 20:30:32,False,国分寺市 ラン,14.13,699,01:37:19,152,165,178,189,6:53,5:21,103,108,0.82,0.0,"17,286",いいえ,00:00:41.9,15,01:37:06,01:39:28,70,93,
ラン,2026-04-12 19:02:44,False,国分寺市 ラン,15.55,770,01:42:49,150,163,180,193,6:37,4:02,113,118,0.84,0.0,"18,448",いいえ,00:03:00.6,16,01:42:44,01:43:54,70,93,
ラン,2026-04-10 20:39:35,False,国分寺市 ラン,13.86,659,01:34:22,145,167,178,233,6:49,5:48,77,85,0.83,0.0,"16,752",いいえ,00:05:44.4,14,01:34:18,01:35:43,70,92,
ラン,2026-04-09 20:41:37,False,国分寺市 ラン,13.67,664,01:32:08,147,160,178,189,6:44,5:07,119,132,0.83,0.0,"16,392",いいえ,00:04:08.7,14,01:31:55,01:35:26,70,115,
ラン,2026-04-06 19:33:50,False,国分寺市 ラン,8.25,424,00:57:15,153,169,174,190,6:56,5:00,55,58,0.83,0.0,"9,958",いいえ,00:01:22.8,9,00:57:02,00:58:17,70,93,
ラン,2026-04-05 09:40:01,False,北区 ラン,10.05,498,00:51:04,181,193,186,198,5:05,3:59,269,264,1.06,0.0,"9,446",いいえ,00:00:12.4,11,00:50:52,00:51:04,-13,21,赤羽トライアルでした。まだ回復しきっていない中で、少し走りが戻ってきた予兆を感じました。
ラン,2026-04-03 18:14:58,False,国分寺市 ラン,8.35,413,00:52:44,153,170,177,204,6:19,4:15,57,62,0.89,0.0,"9,344",いいえ,00:01:58.3,9,00:52:40,00:53:25,70,93,
ラン,2026-04-02 19:41:12,False,国分寺市 ラン,8.19,406,00:53:37,151,165,175,185,6:33,4:34,46,48,0.87,0.0,"9,372",いいえ,00:01:09.1,9,00:53:26,00:55:10,70,93,
ラン,2026-03-31 17:08:22,False,国分寺市 ラン,8.26,395,00:54:21,147,164,176,186,6:35,4:40,54,59,0.86,0.0,"9,390",いいえ,00:01:17.5,9,00:54:13,00:56:41,70,103,
ラン,2026-03-30 17:13:38,False,国分寺市 ラン,8.24,401,00:56:11,152,165,175,197,6:49,3:53,55,58,0.84,0.0,"9,834",いいえ,00:01:37.0,9,00:55:54,00:58:25,70,96,
ラン,2026-03-29 13:37:39,False,世田谷区 ラン,3.01,158,00:22:41,148,159,170,182,7:32,6:30,14,13,0.78,0.0,"3,862",いいえ,00:01:59.2,4,00:22:38,00:24:28,37,47,"OTTの日でした。中盤キツくなってしまってペース落ち気味だったが後ろから救世主のペースメーカーがついてくれて少し回復し、ペース上げられた。トラック一人になってしまうと一層きついんだわ。
直前数日前までヘロヘロ過ぎたので不安だったがまあどうにかなった。。"
ラン,2026-03-29 12:59:01,False,世田谷区 ラン,4.79,215,00:23:14,178,189,179,196,4:51,4:05,42,38,1.15,0.0,"4,122",いいえ,00:00:49.8,12,00:23:13,00:23:14,32,45,"OTTの日でした。中盤キツくなってしまってペース落ち気味だったが後ろから救世主のペースメーカーがついてくれて少し回復し、ペース上げられた。トラック一人になってしまうと一層きついんだわ。
直前数日前までヘロヘロ過ぎたので不安だったがまあどうにかなった。。"
散歩,2026-03-27 20:28:00,False,ウォーキング,3.0,--,00:00:00,--,--,--,--,--,--,--,--,--,0.0,--,いいえ,00:00:00,1,--:--:--,00:00:00,--,--,
ラン,2026-03-26 19:05:53,False,国分寺市 ラン,8.28,406,00:57:32,149,172,173,188,6:57,5:31,58,62,0.83,0.0,"9,970",いいえ,00:01:52.4,9,00:57:22,00:59:18,70,93,
ラン,2026-03-24 18:48:10,False,国分寺市 ラン,8.25,363,00:59:20,138,149,171,182,7:11,5:47,59,62,0.82,0.0,"10,162",いいえ,00:01:34.3,9,00:59:04,01:03:09,70,93,
ラン,2026-03-23 19:57:58,False,国分寺市 ラン,9.01,442,01:05:20,145,160,174,187,7:15,5:16,71,66,0.79,0.0,"11,498",いいえ,00:00:06.4,10,01:05:04,01:08:53,70,93,
ラン,2026-03-23 19:55:18,False,国分寺市 - 200mスピード走,0.21,5,00:00:55.3,119,138,183,204,4:20,3:36,--,2,1.26,0.0,166,いいえ,00:00:03.5,2,00:00:54.5,00:00:55.3,76,81,
ラン,2026-03-23 19:40:34,False,国分寺市 ラン,1.2,62,00:08:52.5,134,143,173,179,7:23,6:41,9,5,0.78,0.0,"1,542",いいえ,00:01:23.2,2,00:08:46,00:08:52.5,70,87,
ラン,2026-03-23 19:34:54,False,国分寺市 - 200mスピード走,0.72,24,00:03:57.0,123,146,157,202,5:29,3:46,--,--,1.14,0.0,648,いいえ,00:00:18.0,6,00:03:49.0,00:03:57.0,74,83,
ラン,2026-03-23 19:00:00,False,国分寺市 ラン,1.82,75,00:13:02,121,139,170,180,7:09,6:40,14,12,0.82,0.0,"2,242",いいえ,00:05:49.1,2,00:12:48,00:16:36,78,93,
散歩,2026-03-20 21:56:00,False,ウォーキング,3.0,--,00:00:00,--,--,--,--,--,--,--,--,--,0.0,--,いいえ,00:00:00,1,--:--:--,00:00:00,--,--,
ラン,2026-03-20 16:05:53,False,国分寺市 ラン,8.03,392,00:51:27,153,167,179,198,6:25,4:19,60,55,0.87,0.0,"9,190",いいえ,00:00:08.9,9,00:51:15,00:53:13,70,93,
ラン,2026-03-19 19:23:51,False,国分寺市 ラン,12.01,570,01:19:43,148,163,176,184,6:38,5:37,85,86,0.86,0.0,"13,964",いいえ,00:00:03.4,13,01:19:33,01:22:57,70,105,
ラン,2026-03-16 18:39:01,False,国分寺市 ラン,13.24,659,01:31:35,150,162,174,188,6:55,4:51,96,102,0.83,0.0,"15,966",いいえ,00:01:16.1,14,01:31:22,01:37:07,70,99,
ラン,2026-03-15 15:55:35,False,国分寺市 ラン,17.4,835,01:48:56,149,166,181,202,6:16,5:09,117,121,0.88,0.0,"19,760",いいえ,00:02:23.0,18,01:48:45,01:50:38,70,92,
ラン,2026-03-14 10:59:58,False,府中市 ラン,10.0,501,00:54:10,178,197,184,192,5:25,3:56,115,113,1.00,0.0,"9,864",いいえ,00:04:57.4,10,00:53:58,00:54:10,30,57,
ラン,2026-03-10 18:52:46,False,国分寺市 ラン,15.14,745,01:40:13,149,163,178,187,6:37,5:29,88,88,0.85,0.0,"17,814",いいえ,00:00:53.8,16,01:39:46,01:45:17,70,101,
ラン,2026-03-08 10:23:19,False,昭島市 ラン,13.61,662,01:27:14,136,160,178,209,6:24,4:42,85,85,0.88,0.0,"15,546",いいえ,00:03:22.5,14,01:26:42,01:49:47,96,127,
ラン,2026-03-06 18:18:21,False,国分寺市 ラン,12.02,608,01:21:09,157,178,175,185,6:45,5:23,86,85,0.85,0.0,"14,176",いいえ,00:00:09.3,13,01:21:05,01:24:01,70,94,
ラン,2026-03-05 19:09:32,False,国分寺市 ラン,15.51,776,01:41:05,154,169,176,188,6:31,5:14,84,89,0.87,0.0,"17,806",いいえ,00:03:11.1,16,01:40:47,01:43:21,70,93,
ラン,2026-03-03 18:50:00,False,じむ,8.0,407,00:50:00,--,--,--,--,6:15,--,--,--,--,0.0,--,いいえ,00:50:00,1,--:--:--,00:50:00,--,--,
ラン,2026-03-02 18:33:48,False,国分寺市 ラン,11.33,550,01:16:36,146,159,177,190,6:46,5:47,60,63,0.84,0.0,"13,518",いいえ,00:02:09.8,12,01:16:31,01:19:46,70,93,
ラン,2026-03-01 11:00:02,False,北区 ラン,10.08,484,00:54:19,167,180,186,195,5:23,4:07,300,299,1.00,0.0,"9,696",いいえ,00:00:22.4,11,00:54:09,00:54:19,-13,23,
